"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
1760,"CYHH","medium_airport","Nemiscau Airport",51.6911,-76.1356,802,"NA","CA","CA-QC","Nemiscau","yes","CYHH","YNS","","","http://en.wikipedia.org/wiki/Nemiscau_Airport","YHH"
1761,"CYHI","medium_airport","Ulukhaktok Holman Airport",70.7628,-117.806,117,"NA","CA","CA-NT","Ulukhaktok","yes","CYHI","YHI","","","http://en.wikipedia.org/wiki/Ulukhaktok/Holman_Airport",""
1762,"CYHK","medium_airport","Gjoa Haven Airport",68.6356,-95.8497,152,"NA","CA","CA-NU","Gjoa Haven","yes","CYHK","YHK","","","http://en.wikipedia.org/wiki/Gjoa_Haven_Airport",""
1763,"CYHM","medium_airport","John C. Munro Hamilton International Airport",43.1736,-79.935,780,"NA","CA","CA-ON","Hamilton","yes","CYHM","YHM","","http://www.flyhi.ca/","http://en.wikipedia.org/wiki/Hamilton/John_C._Munro_International_Airport","Mount Hope Airport"
1764,"CYHN","medium_airport","Hornepayne Municipal Airport",49.1931,-84.7589,1099,"NA","CA","CA-ON","Hornepayne","no","CYHN","YHN","","","http://en.wikipedia.org/wiki/Hornepayne_Municipal_Airport",""
1765,"CYHO","medium_airport","Hopedale Airport",55.4483,-60.2286,39,"NA","CA","CA-NL","Hopedale","yes","CYHO","YHO","","","http://en.wikipedia.org/wiki/Hopedale_Airport",""
1766,"CYHR","medium_airport","Chevery Airport",50.4689,-59.6367,39,"NA","CA","CA-QC","Chevery","yes","CYHR","YHR","","","http://en.wikipedia.org/wiki/Chevery_Airport",""
1767,"CYHT","medium_airport","Haines Junction Airport",60.7892,-137.546,2150,"NA","CA","CA-YT","Haines Junction","no","CYHT","YHT","","","http://en.wikipedia.org/wiki/Haines_Junction_Airport",""
1768,"CYHU","medium_airport","Montréal / Saint-Hubert Airport",45.5175,-73.4169,90,"NA","CA","CA-QC","Montréal","yes","CYHU","YHU","","http://www.dashl.ca/","http://en.wikipedia.org/wiki/Montr%C3%A9al/St-Hubert_Airport",""
1769,"CYHY","medium_airport","Hay River / Merlyn Carter Airport",60.8397,-115.783,541,"NA","CA","CA-NT","Hay River","yes","CYHY","YHY","","","http://en.wikipedia.org/wiki/Hay_River_Airport",""
